name	img	year	genres	rating	length	type	
Социальная дилемма	https://kinopoiskapiunofficial.tech/images/posters/kp/1337788.jpg	2020	документальный, драма	7.2	01:34	Фильм			
Тёмное наследие	https://kinopoiskapiunofficial.tech/images/posters/kp/1208499.jpg	2020	детектив, драма, триллер	6.4	01:51	Фильм			
Элитный отряд	https://kinopoiskapiunofficial.tech/images/posters/kp/1244537.jpg	2020	военный, драма, триллер	6.1	02:17	Фильм			
Молот и болтер (мини–сериал)	https://kinopoiskapiunofficial.tech/images/posters/kp/4644331.jpg	2021	боевик, мультфильм, ужасы, фантастика	7.3	00:20	Мульт-сериал			
[Бегущий по лезвию: Чёрный лотос](https://animego.online/536-beguschij-po-lezviju-chernyj-lotos-c1.html)	https://kinopoiskapiunofficial.tech/images/posters/kp/1212708.jpg	2021	аниме, боевик, детектив, мультфильм, фантастика	5.9	00:23	Мульт-сериал			
Реинкарнация безработного: История о приключениях в другом мире	https://kinopoiskapiunofficial.tech/images/posters/kp/1312253.jpg	2021	аниме, комедия, мультфильм, приключения, фэнтези	8.1	00:23	Аниме-сериал			
[Скейт: Бесконечность](https://jut.su/sk8-infinity/)	https://kinopoiskapiunofficial.tech/images/posters/kp/4468017.jpg	2021	аниме, комедия, мультфильм, приключения, спорт	7.8	00:23	Аниме-сериал			
Виви: Песнь флюоритового глаза	https://kinopoiskapiunofficial.tech/images/posters/kp/4420238.jpg	2021	аниме, боевик, мультфильм, фантастика	7.7	00:24	Аниме-сериал			
Непобедимый	https://kinopoiskapiunofficial.tech/images/posters/kp/1171895.jpg	2021	боевик, драма, мультфильм, приключения, триллер, фантастика, фэнтези	8.1	00:50	Мульт-сериал			
Джон Вуд. Последняя кровь	https://kinopoiskapiunofficial.tech/images/posters/kp/1391142.jpg	2021	боевик, фантастика	5.2	01:24	Фильм			
Капитан Волконогов бежал	https://kinopoiskapiunofficial.tech/images/posters/kp/1402927.jpg	2021	драма, триллер	7.7	02:06	Фильм			
Ассасин: Битва миров	https://kinopoiskapiunofficial.tech/images/posters/kp/1236082.jpg	2021	боевик, фэнтези	6.1	02:10	Фильм			
Вечные	https://kinopoiskapiunofficial.tech/images/posters/kp/1198811.jpg	2021	боевик, приключения, фантастика, фэнтези	6.4	02:36	Фильм			
Кардинал теней ВОСХОЖДЕНИЕ ГЕРОЕВ В ТЕНИ	https://kinopoiskapiunofficial.tech/images/posters/kp/4901749.jpg	2022	аниме, боевик, мультфильм, приключения, фэнтези	7.4	00:23	Аниме-сериал			
[Образцовая «Семья шпиона»](https://media.2x2tv.ru/spy-family/)	https://kinopoiskapiunofficial.tech/images/posters/kp/4686248.jpg	2022	аниме, боевик, комедия, мультфильм	8.1	00:24	Аниме-сериал			
Перерождение дяди	https://kinopoiskapiunofficial.tech/images/posters/kp/4901752.jpg	2022	аниме, комедия, мультфильм, фэнтези	7.5	00:24	Аниме-сериал			
Разделение	https://kinopoiskapiunofficial.tech/images/posters/kp/1343318.jpg	2022	детектив, драма, триллер, фантастика	8.2	00:50	Сериал			
Периферийные устройства	https://kinopoiskapiunofficial.tech/images/posters/kp/1320895.jpg	2022	фантастика	7	01:00	Сериал			
Операция «Фортуна»: Искусство побеждать	https://kinopoiskapiunofficial.tech/images/posters/kp/1405508.jpg	2022	боевик, комедия	7.1	01:54	Фильм			
Адский рай	https://kinopoiskapiunofficial.tech/images/posters/kp/4786341.jpg	2023	аниме, боевик, мультфильм, приключения, фэнтези	7.9	00:24	Аниме-сериал			
Царство падальщиков	https://kinopoiskapiunofficial.tech/images/posters/kp/5002282.jpg	2023	драма, мультфильм, приключения, фантастика	8.3	00:24	Мульт-сериал			
Капитан Лазерхоук: Blood Dragon Remix	https://kinopoiskapiunofficial.tech/images/posters/kp/4475347.jpg	2023	боевик, драма, комедия, мультфильм, приключения, фантастика, фэнтези	7.2	00:25	Сериал			
Экстраординарная	https://kinopoiskapiunofficial.tech/images/posters/kp/4824192.jpg	2023	комедия, фантастика	7.4	00:25	Сериал			
Лакадэйзи	https://kinopoiskapiunofficial.tech/images/posters/kp/1360099.jpg	2023	короткометражка, криминал, мультфильм, фэнтези	7.4	00:27	Мульт			
Теория больших денег	https://kinopoiskapiunofficial.tech/images/posters/kp/5134244.jpg	2023	детектив, драма, криминал	6.9	00:40	Сериал			
Голубоглазый самурай	https://kinopoiskapiunofficial.tech/images/posters/kp/4992678.jpg	2023	боевик, драма, история, мультфильм, приключения, триллер	8.3	00:45	Мульт-сериал			
Фишер	https://kinopoiskapiunofficial.tech/images/posters/kp/4443734.jpg	2023	детектив, драма, криминал, триллер	7.9	01:00	Сериал			
Марс Экспресс	https://kinopoiskapiunofficial.tech/images/posters/kp/5304408.jpg	2023	боевик, детектив, мультфильм, фантастика	7.6	01:28	Мульт			
Токсичный мститель	https://kinopoiskapiunofficial.tech/images/posters/kp/507758.jpg	2023	боевик, комедия, ужасы, фантастика	5.9	01:42	Фильм			
Оставь мир позади	https://kinopoiskapiunofficial.tech/images/posters/kp/4511543.jpg	2023	драма, триллер, фантастика	6.6	02:20	Фильм			
Мистика, юные девы и загадочное исчезновение	https://kinopoiskapiunofficial.tech/images/posters/kp/6385677.jpg	2024	аниме, детектив, мультфильм, фэнтези	00:23	Аниме-сериал				
[Поднятие уровня в одиночку](https://animego.online/2746-podnjatie-urovnja-v-odinochku-y3.html)	https://kinopoiskapiunofficial.tech/images/posters/kp/5230828.jpg	2024	аниме, боевик, мультфильм, фэнтези	8.2	00:23	Аниме-сериал			
[Становясь волшебницей](https://animedia.onl/56-stanovjas-volshebnicej.html)	https://kinopoiskapiunofficial.tech/images/posters/kp/5593838.jpg	2024	аниме, боевик, комедия, мультфильм, фэнтези	7.3	00:23	Аниме-сериал			
Дуглас отменяется	https://kinopoiskapiunofficial.tech/images/posters/kp/5708693.jpg	2024	драма, комедия	7.2	00:40	Сериал			
Дорогуша	https://kinopoiskapiunofficial.tech/images/posters/kp/6303281.jpg	2024	драма, комедия	6.7	00:42	Сериал			
Шоу восьми	https://kinopoiskapiunofficial.tech/images/posters/kp/4838825.jpg	2024	драма, триллер	7.1	00:50	Сериал			
Вечный ты	https://kinopoiskapiunofficial.tech/images/posters/kp/5580879.jpg	2024	документальный, драма	01:27	Фильм				
Ловушка	https://kinopoiskapiunofficial.tech/images/posters/kp/5510094.jpg	2024	криминал, триллер	6.4	01:45	Фильм			
Меган: К вашим услугам	https://kinopoiskapiunofficial.tech/images/posters/kp/5237443.jpg	2024	триллер, фантастика	5.7	01:46	Фильм			
Аргайл: Супершпион	https://kinopoiskapiunofficial.tech/images/posters/kp/4507204.jpg	2024	боевик, комедия	5.8	02:19	Фильм			
